"Player, Club",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Andrew McCutchen,  Pirates",28,1,1,,,,,,,,409
"Paul Goldschmidt,  D-backs",,15,9,1,3,2,,,,,242
"Yadier Molina, Cardinals",2,8,4,6,6,,1,,2,1,219
"Matt Carpenter, Cardinals",,6,5,4,3,9,1,1,1,,194
"Freddie Freeman,  Braves",,,,5,7,8,8,1,1,,154
"Joey Votto,  Reds",,,2,8,7,3,4,,1,2,149
"Clayton Kershaw, Dodgers",,,8,4,,4,5,4,1,,146
"Hanley Ramirez, Dodgers",,,1,1,2,1,2,3,3,3,58
"Carlos Gomez, Brewers",,,,,1,,3,6,2,3,43
"Jay Bruce, Reds",,,,,1,1,3,,2,3,30
"Craig Kimbrel, Braves",,,,1,,1,,3,3,,27
"Shin Soo Choo, Reds",,,,,,1,1,1,4,3,23
"Jayson Werth, Nationals",,,,,,,1,2,2,6,20
"Andrelton Simmons, Braves",,,,,,,,2,4,,14
"Yasiel Puig, Dodgers",,,,,,,1,2,,,10
"Hunter Pence, Giants",,,,,,,,1,1,2,7
"Troy Tulowitzki,  Rockies",,,,,,,,,2,1,5
"Allen Craig, Cardinals",,,,,,,,1,,1,4
"Adrian Gonzalez, Dodgers",,,,,,,,1,,1,4
"Buster Posey, Giants",,,,,,,,1,,,3
"Adam Wainwright, Cardinals",,,,,,,,1,,,3
"Michael Cuddyer, Rockies",,,,,,,,,,3,3
"Matt Holliday, Cardinals",,,,,,,,,1,,2
"Russell Martin, Pirates",,,,,,,,,,1,1
