"Pitcher, Team",1st,2nd,3rd,4th,5th,Points
"Dallas Keuchel,  Astros",22,8,,,,186
"David Price,  Tigers/Blue Jays",8,21,1,,,143
"Sonny Gray,  Athletics",,1,24,3,,82
"Chris Sale,  White Sox",,,3,7,7,30
"Chris Archer, Rays",,,,10,9,29
"Wade Davis,  Royals",,,1,1,5,10
"Felix Hernandez,  Mariners",,,1,3,,9
"Collin McHugh,  Astros",,,,1,3,5
"Corey Kluber,  Indians",,,,1,2,4
"Marco Estrada,  Blue Jays",,,,1,1,3
"Andrew Miller,  Yankees",,,,1,1,3
"Shawn Tolleson,  Rangers",,,,1,1,3
"Carlos Carrasco,  Indians",,,,1,,2
"Dellin Betances,  Yankees",,,,,1,1
